match_id,team_name,family_name,shirt_number,minute_regulation,minute_stoppage,own_goal,penalty,goal_keeper,defender,midfielder,forward,count_tournaments,home_team,away_team,goals_for,goals_against,goal_differential,extra_time,penalty_shootout,penalties_for,penalties_against,win,lose,draw,performace
M-1974-09,West Germany,MŸller,13,53,0,0,0,0,0,0,1,2,0,1,3,0,3,0,0,0,0,1,0,0,champions
M-1974-09,West Germany,Overath,12,12,0,0,0,0,0,1,0,3,0,1,3,0,3,0,0,0,0,1,0,0,champions
M-1974-25,West Germany,Breitner,3,39,0,0,0,0,1,0,0,2,0,1,2,0,2,0,0,0,0,1,0,0,champions
M-1974-25,West Germany,MŸller,13,82,0,0,0,0,0,0,1,2,0,1,2,0,2,0,0,0,0,1,0,0,champions
M-1974-32,West Germany,Bonhof,16,52,0,0,0,0,0,1,0,2,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1974-32,West Germany,Grabowski,9,76,0,0,0,0,0,0,1,3,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1974-32,West Germany,Hoene§,14,89,0,0,1,0,0,0,1,1,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1974-32,West Germany,Overath,12,51,0,0,0,0,0,1,0,3,1,0,4,2,2,0,0,0,0,1,0,0,champions
M-1974-33,West Germany,MŸller,13,76,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,1,0,0,champions
M-1974-38,West Germany,Breitner,3,25,0,0,1,0,1,0,0,2,0,1,2,1,1,0,0,0,0,1,0,0,champions
M-1974-38,West Germany,MŸller,13,43,0,0,0,0,0,0,1,2,0,1,2,1,1,0,0,0,0,1,0,0,champions
M-1978-04,Argentina,Bertoni,4,83,0,0,0,0,0,0,1,2,1,0,2,1,1,0,0,0,0,1,0,0,champions
M-1978-04,Argentina,Luque,14,14,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,champions
M-1978-12,Argentina,Luque,14,73,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,champions
M-1978-12,Argentina,Passarella,19,45,0,0,1,0,1,0,0,3,1,0,2,1,1,0,0,0,0,1,0,0,champions
M-1978-28,Argentina,Kempes,10,16,0,0,0,0,0,0,1,3,1,0,2,0,2,0,0,0,0,1,0,0,champions
M-1978-28,Argentina,Kempes,10,71,0,0,0,0,0,0,1,3,1,0,2,0,2,0,0,0,0,1,0,0,champions
M-1978-36,Argentina,Houseman,9,67,0,0,0,0,0,1,1,2,1,0,6,0,6,0,0,0,0,1,0,0,champions
M-1978-36,Argentina,Kempes,10,21,0,0,0,0,0,0,1,3,1,0,6,0,6,0,0,0,0,1,0,0,champions
M-1978-36,Argentina,Kempes,10,49,0,0,0,0,0,0,1,3,1,0,6,0,6,0,0,0,0,1,0,0,champions
M-1978-36,Argentina,Luque,14,50,0,0,0,0,0,0,1,1,1,0,6,0,6,0,0,0,0,1,0,0,champions
M-1978-36,Argentina,Luque,14,72,0,0,0,0,0,0,1,1,1,0,6,0,6,0,0,0,0,1,0,0,champions
M-1978-36,Argentina,Tarantini,20,43,0,0,0,0,1,0,0,2,1,0,6,0,6,0,0,0,0,1,0,0,champions
M-1978-38,Argentina,Bertoni,4,115,0,0,0,0,0,0,1,2,1,0,3,1,2,1,0,0,0,1,0,0,champions
M-1978-38,Argentina,Kempes,10,38,0,0,0,0,0,0,1,3,1,0,3,1,2,1,0,0,0,1,0,0,champions
M-1978-38,Argentina,Kempes,10,105,0,0,0,0,0,0,1,3,1,0,3,1,2,1,0,0,0,1,0,0,champions
M-1982-09,Spain,Ufarte,11,65,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,second group stage
M-1982-21,Spain,Juanito,7,14,0,0,1,0,0,0,1,2,1,0,2,1,1,0,0,0,0,1,0,0,second group stage
M-1982-21,Spain,Saura,15,66,0,0,0,0,0,1,0,1,1,0,2,1,1,0,0,0,0,1,0,0,second group stage
M-1982-44,Spain,Zamora,10,82,0,0,0,0,0,1,0,1,0,1,1,2,-1,0,0,0,0,0,1,0,second group stage
M-1986-07,Mexico,Quirarte,3,23,0,0,0,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,quater-finals
M-1986-07,Mexico,S‡nchez,9,39,0,0,0,0,0,0,1,3,0,1,2,1,1,0,0,0,0,1,0,0,quater-finals
M-1986-19,Mexico,Flores,15,3,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,quater-finals
M-1986-29,Mexico,Quirarte,3,54,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,quater-finals
M-1986-37,Mexico,Negrete,22,34,0,0,0,0,0,1,0,1,1,0,2,0,2,0,0,0,0,1,0,0,quater-finals
M-1986-37,Mexico,Serv’n,17,61,0,0,0,0,1,0,0,1,1,0,2,0,2,0,0,0,0,1,0,0,quater-finals
M-1990-04,Italy,Schillaci,19,78,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,third place
M-1990-16,Italy,Giannini,13,11,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,third place
M-1990-30,Italy,Baggio,15,78,0,0,0,0,0,0,1,3,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-1990-30,Italy,Schillaci,19,9,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-1990-42,Italy,Schillaci,19,65,0,0,0,0,0,0,1,1,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-1990-42,Italy,Serena,20,83,0,0,0,0,0,0,1,2,1,0,2,0,2,0,0,0,0,1,0,0,third place
M-1990-46,Italy,Schillaci,19,38,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,third place
M-1990-49,Italy,Schillaci,19,17,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,3,4,0,1,0,third place
M-1990-51,Italy,Baggio,15,71,0,0,0,0,0,0,1,3,1,0,2,1,1,0,0,0,0,1,0,0,third place
M-1990-51,Italy,Schillaci,19,86,0,0,1,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,0,third place
M-1994-03,United States,Wynalda,11,44,0,0,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,1,round of 16
M-1994-15,United States,Escobar,2,35,0,1,0,0,1,0,0,2,1,0,2,1,1,0,0,0,0,1,0,0,round of 16
M-1994-15,United States,Stewart,8,52,0,0,0,0,0,1,1,3,1,0,2,1,1,0,0,0,0,1,0,0,round of 16
M-1998-07,France,Dugarry,21,35,0,0,0,0,0,0,1,2,1,0,3,0,3,0,0,0,0,1,0,0,champions
M-1998-07,France,Henry,12,90,2,0,0,0,0,0,1,4,1,0,3,0,3,0,0,0,0,1,0,0,champions
M-1998-07,France,Issa,21,77,0,1,0,0,1,0,0,2,1,0,3,0,3,0,0,0,0,1,0,0,champions
M-1998-22,France,Henry,12,37,0,0,0,0,0,0,1,4,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1998-22,France,Henry,12,78,0,0,0,0,0,0,1,4,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1998-22,France,Lizarazu,3,85,0,0,0,0,1,0,0,2,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1998-22,France,Trezeguet,20,68,0,0,0,0,0,0,1,3,1,0,4,0,4,0,0,0,0,1,0,0,champions
M-1998-37,France,Djorkaeff,6,12,0,0,1,0,0,1,0,2,1,0,2,1,1,0,0,0,0,1,0,0,champions
